                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63164,                 1.7292,                0.93712,                0.99083,                0.64276,                0.95089,                0.85866,                0.44984,                 1.4563,                0.68394,             0.00036504,             0.00036504,             0.00036504
                      2,                0.49079,                0.71013,                0.86666,                 0.9955,                0.98064,                0.99484,                0.91931,                0.35973,                0.77031,                 0.6588,             0.00072082,             0.00072082,             0.00072082
                      3,                0.47012,                0.61817,                0.85807,                0.99703,                 0.9973,                0.99419,                0.92154,                 0.3957,                 0.5893,                0.68358,              0.0010619,              0.0010619,              0.0010619
                      4,                0.47247,                0.56557,                0.86423,                0.99648,                 0.9973,                0.99444,                0.92325,                0.35947,                0.42566,                0.66105,               0.001045,               0.001045,               0.001045
                      5,                0.46646,                0.51209,                0.85866,                0.99795,                 0.9973,                0.99484,                0.91822,                0.37428,                0.36603,                0.66202,               0.001045,               0.001045,               0.001045
                      6,                0.43684,                0.46117,                0.85026,                0.99767,                 0.9973,                0.99488,                0.93375,                0.35333,                0.35339,                0.66489,               0.001023,               0.001023,               0.001023
                      7,                0.43327,                0.42158,                  0.849,                0.99805,                 0.9973,                0.99397,                0.92678,                0.35838,                0.31762,                 0.6629,               0.001001,               0.001001,               0.001001
                      8,                0.41803,                0.40115,                0.85033,                0.99803,                 0.9973,                0.99473,                0.92807,                0.35521,                0.30552,                0.65975,             0.00097901,             0.00097901,             0.00097901
                      9,                0.40918,                0.37762,                0.84751,                0.99837,                 0.9973,                0.99452,                0.93847,                0.33255,                0.29384,                0.65565,             0.00095702,             0.00095702,             0.00095702
                     10,                0.40163,                 0.3612,                0.84874,                0.99836,                 0.9973,                0.99453,                0.92645,                0.36306,                0.27318,                0.65358,             0.00093502,             0.00093502,             0.00093502
                     11,                0.39943,                0.35225,                0.84453,                0.99828,                 0.9973,                0.99478,                0.93418,                0.33859,                 0.2332,                0.64954,             0.00091302,             0.00091302,             0.00091302
                     12,                 0.3997,                0.34112,                0.84532,                0.99832,                 0.9973,                0.99479,                0.93622,                0.34688,                0.25136,                 0.6548,             0.00089102,             0.00089102,             0.00089102
                     13,                0.38614,                 0.3259,                0.84195,                0.99841,                 0.9973,                 0.9949,                0.93005,                0.33768,                0.22354,                0.66049,             0.00086902,             0.00086902,             0.00086902
                     14,                0.37234,                0.31103,                0.83902,                0.99843,                 0.9973,                0.99468,                0.94108,                0.32714,                0.22202,                0.65097,             0.00084703,             0.00084703,             0.00084703
                     15,                0.38364,                0.31124,                0.84062,                 0.9984,                 0.9973,                  0.995,                0.94725,                 0.3189,                0.21661,                0.65045,             0.00082503,             0.00082503,             0.00082503
                     16,                0.38172,                0.30053,                0.83984,                0.99821,                 0.9973,                0.99494,                0.93537,                0.35829,                0.23559,                0.66133,             0.00080303,             0.00080303,             0.00080303
                     17,                0.37532,                 0.2908,                0.83688,                0.99842,                 0.9973,                0.99464,                0.94622,                0.31269,                0.19875,                0.65067,             0.00078103,             0.00078103,             0.00078103
                     18,                0.36022,                 0.2824,                0.83786,                0.99832,                 0.9973,                0.99421,                0.93885,                0.32763,                 0.2269,                0.65141,             0.00075904,             0.00075904,             0.00075904
