                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3159,                 1.3911,                 1.8173,                0.99654,                0.99901,                  0.995,                0.83974,                0.71797,                0.67492,                 1.4627,               0.070441,              0.0032843,              0.0032843
                      2,                 1.0073,                0.83446,                 1.5246,                0.98887,                0.98706,                0.99462,                0.82644,                0.83286,                0.64882,                 1.6022,                0.04031,              0.0064866,              0.0064866
                      3,                0.94145,                0.77453,                 1.4347,                0.99342,                 0.9992,                  0.995,                0.81945,                0.77434,                0.89632,                 1.4527,               0.010047,              0.0095569,              0.0095569
                      4,                0.86446,                0.70015,                 1.3658,                0.99526,                      1,                  0.995,                0.83145,                0.83293,                0.59421,                 1.6138,               0.009406,               0.009406,               0.009406
                      5,                0.84118,                 0.6542,                 1.3369,                0.99686,                      1,                  0.995,                0.85926,                0.72187,                0.64791,                 1.4068,               0.009406,               0.009406,               0.009406
                      6,                0.73023,                0.60395,                 1.2334,                0.99148,                      1,                  0.995,                0.89248,                0.51094,                0.40932,                 1.1346,               0.009208,               0.009208,               0.009208
                      7,                0.72532,                0.56478,                 1.2049,                0.98387,                0.97716,                0.99465,                0.87731,                 0.6022,                 0.4884,                 1.3058,                0.00901,                0.00901,                0.00901
                      8,                0.69921,                0.56291,                 1.1834,                0.99893,                0.99656,                0.99378,                 0.8658,                0.55625,                0.40131,                  1.161,               0.008812,               0.008812,               0.008812
                      9,                0.66725,                0.52228,                 1.1609,                0.99906,                      1,                  0.995,                0.90738,                0.50016,                0.39107,                 1.1461,               0.008614,               0.008614,               0.008614
                     10,                 0.6361,                  0.492,                 1.1168,                0.99907,                      1,                  0.995,                0.92131,                0.46111,                0.37936,                 1.0635,               0.008416,               0.008416,               0.008416
                     11,                0.60809,                 0.4744,                 1.1084,                0.99462,                      1,                  0.995,                0.92544,                0.43187,                0.34486,                 1.0905,               0.008218,               0.008218,               0.008218
                     12,                0.59565,                0.44687,                 1.0907,                0.99858,                      1,                  0.995,                0.90989,                0.43187,                0.32699,                 1.0406,                0.00802,                0.00802,                0.00802
                     13,                 0.5905,                0.44752,                  1.085,                0.99699,                      1,                  0.995,                 0.9066,                 0.4179,                0.27923,                 1.0329,               0.007822,               0.007822,               0.007822
                     14,                  0.605,                0.44969,                 1.0852,                0.99832,                      1,                  0.995,                0.91543,                0.41443,                0.29671,                 1.0496,               0.007624,               0.007624,               0.007624
                     15,                0.56974,                0.42131,                 1.0525,                0.99924,                      1,                  0.995,                0.92762,                0.36203,                0.26717,                0.98646,               0.007426,               0.007426,               0.007426
                     16,                0.53852,                0.39788,                 1.0388,                0.99934,                      1,                  0.995,                 0.9206,                0.39747,                0.27606,                0.99893,               0.007228,               0.007228,               0.007228
                     17,                0.54408,                0.40267,                 1.0281,                0.99913,                      1,                  0.995,                0.92163,                 0.4387,                0.28448,                  1.034,                0.00703,                0.00703,                0.00703
                     18,                0.52647,                 0.3921,                 1.0249,                0.99728,                0.96552,                0.99487,                0.92256,                0.39735,                0.40243,                 1.0253,               0.006832,               0.006832,               0.006832
                     19,                0.53936,                 0.3958,                 1.0189,                0.99909,                      1,                  0.995,                0.92446,                0.41077,                0.30779,                 1.0075,               0.006634,               0.006634,               0.006634
                     20,                0.54201,                0.38351,                 1.0261,                0.99919,                      1,                  0.995,                0.92751,                0.41005,                0.30532,                0.99728,               0.006436,               0.006436,               0.006436
                     21,                0.52767,                0.38166,                  1.022,                0.99918,                      1,                  0.995,                0.90992,                0.42243,                0.25474,                 1.0231,               0.006238,               0.006238,               0.006238
                     22,                0.52537,                0.36254,                 1.0087,                0.99941,                      1,                  0.995,                0.92673,                0.38936,                 0.2354,                0.99387,                0.00604,                0.00604,                0.00604
                     23,                 0.5009,                0.35821,                0.99399,                0.99925,                      1,                  0.995,                0.92233,                0.37613,                0.24667,                0.96437,               0.005842,               0.005842,               0.005842
                     24,                0.49723,                0.35409,                0.99069,                0.99898,                      1,                  0.995,                  0.921,                 0.3885,                0.25558,                 1.0019,               0.005644,               0.005644,               0.005644
                     25,                0.49383,                0.36402,                0.99169,                0.99871,                      1,                  0.995,                0.93489,                 0.3492,                0.23735,                0.94235,               0.005446,               0.005446,               0.005446
                     26,                0.50702,                0.34545,                0.99122,                 0.9993,                      1,                  0.995,                0.94373,                 0.3463,                 0.2179,                0.96033,               0.005248,               0.005248,               0.005248
